"SYMBOL","AMC/SCHEME NAME","SUBJECT","DETAILS","BROADCAST DATE/TIME","RECEIPT","DISSEMINATION","DIFFERENCE","ATTACHMENT"
"SENSEXIETF","ICICI Prudential BSE Sensex ETF","Declaration of NAV","ICICI Prudential Asset Management Company Limited has informed the Exchange that the Net Asset Value (per unit) of ICICI Prudential Sensex ETF as on April 09, 2025 is Rs. 834.1368.","10-Apr-2025 12:00:00","2025-04-10 12:00:00","10-Apr-2025 12:00:09","00:00:09",
"BSE500IETF","ICICI Prudential BSE 500 ETF","Declaration of NAV","ICICI Prudential Asset Management Company Limited has informed the Exchange that the Net Asset Value (per unit) of ICICI Prudential Mutual Fund - ICICI Prudential S&P BSE 500 ETF - NA as on April 09, 2025 is Rs. 34.2477.","10-Apr-2025 12:00:00","2025-04-10 12:00:00","10-Apr-2025 12:00:09","00:00:09",
"PVTBANIETF","ICICI Prudential Nifty Private Bank ETF - NIFTY PRIVATE BANK INDEX","Declaration of NAV","ICICI Prudential Asset Management Company Limited has informed the Exchange that the Net Asset Value (per unit) of ICICI Prudential Private Banks ETF-NIFTY Private Bank Index as on April 09, 2025 is Rs. 25.062.","10-Apr-2025 12:00:00","2025-04-10 12:00:00","10-Apr-2025 12:00:09","00:00:09",
"GOLDIETF","ICICI Prudential Gold ETF","Declaration of NAV","GOLDIETF   : ICICI Prudential Asset Management Company Limited has informed the Exchange that the Net Asset Value (per unit) of ICICI Prudential Gold ETF as on April 09, 2025 is Rs. 77.1841.","10-Apr-2025 12:00:00","2025-04-10 12:00:00","10-Apr-2025 12:00:09","00:00:09",
"ICICIB22","ICICI Prudential Mutual Fund - BHARAT 22 ETF","Declaration of NAV","ICICIB22   : ICICI Prudential Asset Management Company Limited has informed the Exchange that the Net Asset Value (per unit) of ICICI Prudential Mutual Fund - BHARAT 22 ETF as on April 09, 2025 is Rs. 99.693.","10-Apr-2025 12:00:00","2025-04-10 12:00:00","10-Apr-2025 12:00:09","00:00:09",
"BANKIETF","ICICI Prudential Nifty Bank ETF - NIFTY BANK INDEX","Declaration of NAV","BANKIETF   : ICICI Prudential Asset Management Company Limited has informed the Exchange that the Net Asset Value (per unit) of ICICI Prudential Bank ETF Nifty Bank Index as on April 09, 2025 is Rs. 51.0591.","10-Apr-2025 12:00:00","2025-04-10 12:00:00","10-Apr-2025 12:00:09","00:00:09",
"MIDSELIETF","ICICI Prudential BSE Midcap Select ETF","Declaration of NAV","ICICI Prudential Asset Management Company Limited has informed the Exchange that the Net Asset Value (per unit) of ICICI Prudential Midcap Select ETF as on April 09, 2025 is Rs. 15.04.","10-Apr-2025 12:00:00","2025-04-10 12:00:00","10-Apr-2025 12:00:09","00:00:09",
"LOWVOLIETF","ICICI Prudential Nifty 100 Low Volatility 30 ETF","Declaration of NAV","ICICI Prudential Asset Management Company Limited has informed the Exchange that the Net Asset Value (per unit) of ICICI Prudential Nifty Low Vol 30 ETF as on April 09, 2025 is Rs. 19.9123.","10-Apr-2025 12:00:00","2025-04-10 12:00:00","10-Apr-2025 12:00:09","00:00:09",
"NIF100IETF","ICICI Prudential Nifty 100 ETF","Declaration of NAV","ICICI Prudential Asset Management Company Limited has informed the Exchange that the Net Asset Value (per unit) of ICICI Prudential Nifty 100 ETF as on April 09, 2025 is Rs. 25.3505.","10-Apr-2025 12:00:00","2025-04-10 12:00:00","10-Apr-2025 12:00:09","00:00:09",
