instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange
50948356,199017,IVZGOLDINAV,INAV INVESCINDGOLXCHANGER,0,,0,0.01,1,EQ,BSE,BSE
50948612,199018,HDFCETFINAV,INAVHDFCMUTUAL-HDFC GOLD E,0,,0,0.01,1,EQ,BSE,BSE
50948868,199019,ICICIGDINAV,INAVICICI PRUDENTIAL GOLD ETF,0,,0,0.01,1,EQ,BSE,BSE
50949124,199020,MON100INAV,INAVMOTILALOSWALMOSTSHARNASD,0,,0,0.01,1,EQ,BSE,BSE
50949380,199021,BSLGOLDINAV,INAVADITYABIRLASUNLIFMUTUAL,0,,0,0.01,1,EQ,BSE,BSE
