tradingsymbol,instrument_token,duration_secs,error
IVZGOLDINAV,50948356,ERROR,403 Client Error: Forbidden for url: https://api.kite.trade/instruments/historical/50948356/day?from=2025-04-20&to=2025-04-21
HDFCETFINAV,50948612,ERROR,403 Client Error: Forbidden for url: https://api.kite.trade/instruments/historical/50948612/day?from=2025-04-20&to=2025-04-21
ICICIGDINAV,50948868,ERROR,403 Client Error: Forbidden for url: https://api.kite.trade/instruments/historical/50948868/day?from=2025-04-20&to=2025-04-21
MON100INAV,50949124,ERROR,403 Client Error: Forbidden for url: https://api.kite.trade/instruments/historical/50949124/day?from=2025-04-20&to=2025-04-21
